pmcid,pmid,title,paper_url
PMC4136787,25133741,Mice in Bion-M 1 Space Mission: Training and Selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/
PMC9576569,36267920,Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/
PMC6124165,30283882,Treatment With a Soluble Bone Morphogenetic Protein Type 1A Receptor (BMPR1A) Fusion Protein Increases Bone Mass and Bone Formation in Mice Subjected to Hindlimb Unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/
PMC8509868,34637435,RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/
PMC3868799,24169547,Bone Marrow Leptin Signaling Mediates Obesity-Associated Adipose Tissue Inflammation in Male Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3868799/
PMC5736159,29270444,Validation of Methods to Assess the Immunoglobulin Gene Repertoire in Tissues Obtained from Mice on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5736159/
PMC5826609,29475521,Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826609/
PMC11929063,40123744,"Preclinical development of TAK-754, a high-performance AAV8-based vector expressing coagulation factor VIII",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/
PMC7828077,33445483,Knowledge Network Embedding of Transcriptomic Data from Spaceflown Mice Uncovers Signs and Symptoms Associated with Terrestrial Diseases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7828077/
PMC11166911,38862479,Spatially resolved multiomics on the neuronal effects induced by spaceflight in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166911/
PMC8513672,33793057,Dichotomous effects on lymphatic transport with loss of caveolae in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8513672/
PMC4050424,23099650,Effects of spaceflight and ground recovery on mesenteric artery and vein constrictor properties in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4050424/
PMC4385880,25593287,Spaceflight on the Bion-M1 biosatellite alters cerebral artery vasomotor and mechanical properties in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4385880/
PMC4110898,23791778,Fifteen Days Microgravity Causes Growth in Calvaria of Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4110898/
PMC11470607,39342744,Over-activation of iNKT cells aggravate lung injury in bronchopulmonary dysplasia mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11470607/
PMC8953707,35328027,Detection of Target Genes for Drug Repurposing to Treat Skeletal Muscle Atrophy in Mice Flown in Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8953707/
PMC4337661,25645569,Bone shaft bending strength index is unaffected by exercise and unloading in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4337661/
PMC5488280,26852281,Osteocyte Apoptosis Caused by Hindlimb Unloading is Required to Trigger Osteocyte RANKL Production and Subsequent Resorption of Cortical and Trabecular Bone in Mice Femurs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5488280/
PMC6747492,31443374,Mice Exposed to Combined Chronic Low-Dose Irradiation and Modeled Microgravity Develop Long-Term Neurological Sequelae,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6747492/
PMC7756144,33376970,Beyond Low-Earth Orbit: Characterizing Immune and microRNA Differentials following Simulated Deep Spaceflight Conditions in Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7756144/
PMC6141014,29569488,Structural and functional properties of bone are compromised in amyotrophic lateral sclerosis mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6141014/
PMC7162976,32300161,Dietary countermeasure mitigates simulated spaceflight-induced osteopenia in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7162976/
PMC10719374,38092777,Explainable machine learning identifies multi-omics signatures of muscle response to spaceflight in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10719374/
PMC3564669,23246792,Failure to Generate Bone Marrow Adipocytes Does Not Protect Mice from Ovariectomy-Induced Osteopenia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3564669/
PMC4161659,24990938,Morbid Obesity Attenuates the Skeletal Abnormalities Associated with Leptin Deficiency in Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4161659/
PMC4985531,27579023,Hypothalamic Leptin Gene Therapy Reduces Bone Marrow Adiposity in ob/ob Mice Fed Regular and High-Fat Diets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4985531/
PMC5421618,27189604,Room Temperature Housing Results in Premature Cancellous Bone Loss in Growing Female Mice: Implications for the Mouse as a Preclinical Model for Age-Related Bone Loss,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5421618/
PMC8671758,34925230,The Role of Estrogen Receptor α in Response to Longitudinal Bone Growth in ob/ob Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8671758/
PMC5771473,29191939,Effects of hypothalamic leptin gene therapy on osteopetrosis in leptin-deficient mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5771473/
PMC5288125,28057869,Leptin Stimulates Bone Formation in ob/ob Mice at Doses Having Minimal Impact on Energy Metabolism,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5288125/
PMC5389344,28402337,Bone Marrow Adipose Tissue Deficiency Increases Disuse-Induced Bone Loss in Male Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5389344/
PMC6548323,30870097,Maintenance of Near Normal Bone Mass and Architecture in Lethally Irradiated Female Mice following Adoptive Transfer with as few as 750 Purified Hematopoietic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6548323/
PMC6597714,31249331,Effect of Leptin Deficiency on the Skeletal Response to Hindlimb Unloading in Adult Male Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6597714/
PMC6865368,31590144,Thermoneutral housing attenuates premature cancellous bone loss in male C57BL/6J mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6865368/
PMC8213760,34145277,Evidence for increased thermogenesis in female C57BL/6J mice housed aboard the international space station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8213760/
PMC9582271,36277726,Leptin and environmental temperature as determinants of bone marrow adiposity in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9582271/
PMC10063413,37007217,Small changes in thermoregulation influence cancellous bone turnover balance in distal femur metaphysis in growing female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10063413/
PMC10889206,38396660,Bone Marrow Adipose Tissue Is Not Required for Reconstitution of the Immune System following Irradiation in Male Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10889206/
PMC11940681,40138271,37-Day microgravity exposure in 16-Week female C57BL/6J mice is associated with bone loss specific to weight-bearing skeletal sites,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11940681/
PMC11941215,40136666,Effects of Space Flight on Inflammasome Activation in the Brain of Mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11941215/
